ID,ResolveAmount
道具ID,分解后获得对应材料（获得物品ID=数量）
123333050,2034008=35
123333070,2034010=45
123333080,2034011=60
123334050,2034008=50
123334070,2034010=65
123334080,2034011=90
123335070,2034010=45
123335080,2034011=60
123336070,2034010=45
123336080,2034011=60
123337080,2034011=60
123338070,2034010=65
123338080,2034011=90
123339070,2034010=65
123339080,2034011=90
133340050,2034008=50
133340070,2034010=65
133340080,2034011=90
133341050,2034008=50
133341070,2034010=65
133341080,2034011=90
133342070,2034010=45
133342080,2034011=60
133343070,2034010=65
133343080,2034011=90
133344080,2034011=90
43345050,2034008=35
43345070,2034010=45
43345080,2034011=60
43346050,2034008=35
43346070,2034010=45
43346080,2034011=60
43347050,2034008=35
43347070,2034010=45
43347080,2034011=60
43348050,2034008=35
43348070,2034010=45
43348080,2034011=60
43349050,2034008=35
43349070,2034010=45
43349080,2034011=60
43350050,2034008=35
43351050,2034008=50
43351070,2034010=65
43351080,2034011=90
43352070,2034010=45
43352080,2034011=60
43353070,2034010=45
43353080,2034011=60
43354070,2034010=45
43354080,2034011=60
43355070,2034010=65
43355080,2034011=90
43357080,2034011=90
93358050,2034008=50
93358070,2034010=65
93358080,2034011=90
93359050,2034008=50
93359070,2034010=65
93359080,2034011=90
93360070,2034010=65
93360080,2034011=90
93361070,2034010=65
93361080,2034011=90
93362080,2034011=90
23363050,2034008=35
23363070,2034010=45
23363080,2034011=60
23364050,2034008=35
23364070,2034010=45
23364080,2034011=60
23365050,2034008=35
23365070,2034010=45
23365080,2034011=60
23366050,2034008=35
23366070,2034010=45
23366080,2034011=60
23367070,2034010=45
23367080,2034011=60
23368070,2034010=45
23368080,2034011=60
23369080,2034011=60
13370050,2034008=35
13370070,2034010=45
13370080,2034011=60
13371050,2034008=35
13371070,2034010=45
13371080,2034011=60
13372070,2034010=45
13372080,2034011=60
13373070,2034010=45
13373080,2034011=60
13374080,2034011=60
63375050,2034008=50
63375070,2034010=65
63375080,2034011=90
63376050,2034008=50
63376070,2034010=65
63376080,2034011=90
63377050,2034008=50
63377070,2034010=65
63377080,2034011=90
63378070,2034010=65
63378080,2034011=90
63379070,2034010=65
63379080,2034011=90
63380070,2034010=65
63380080,2034011=90
63381070,2034010=65
63381080,2034011=90
63382080,2034011=90
53383050,2034008=50
53383070,2034010=65
53383080,2034011=90
53384050,2034008=35
53384070,2034010=45
53384080,2034011=60
53385070,2034010=65
53385080,2034011=90
53386070,2034010=65
53386080,2034011=90
53387080,2034011=60
73302050,2034008=15
73302070,2034010=20
73302080,2034011=30
73303050,2034008=15
73303070,2034010=20
73303080,2034011=30
73304050,2034008=15
73304070,2034010=20
73304080,2034011=30
73305050,2034008=20
73305070,2034010=30
73305080,2034011=45
73306050,2034008=15
73306070,2034010=20
73306080,2034011=30
73307050,2034008=15
73307070,2034010=20
73307080,2034011=30
73309050,2034008=20
73309070,2034010=30
73309080,2034011=45
73310050,2034008=15
73310070,2034010=20
73310080,2034011=30
83311050,2034008=20
83311070,2034010=30
