Id,Title,Desc,TypeTab,SystemPlace,SortID,ParentID,FatherID,HasSwitch,SystemAtlas,SystemIcon,Systembutton,FunctionOrder,NpcJudgeFunction,CanOpenFx,FunctionPreviewOpen,BaseLevel,JobLevel,TaskId,OpenCloseTime,ServerOpenTime,ServerDescLv,NoticeDescLv,NoticeDescTask,NoticeDescTask2,CanNotice,NoticeBaseLevel,NoticeTitleText1,NoticeTitleText2,NoticeTitleAtlas,NoticeTitleImg,NoticeTitlePhoto,NoticeAtlas,NoticePhoto,NoticeReward,IsOpen,ProfessionLimit,LoginDays,AchievementLevel,IsOpenInCrossServer
功能Id,标题,描述,功能分类（1主界面 2二级界面 3npc处 4程序特判）,主界面图标位置 (A1 B2 C3 D4)typetab=1时需要,图标排序typetab=1时需要,归属功能Idtypetab=2时需要（只供客户端表现用）,父ID（功能开关用）,是否有功能开关,功能图集,功能图标,功能按钮,功能函数名（程序提供）,判断函数（给NPC添加功能函数时，对应按钮是否显示判断程序提供）,是否添加开启特效,功能预览（日常玩法、NPC功能）,开放base等级          （0为初始默认开放）,开放Job等级          （0为初始默认开放）,完成任务Id,开启关闭时间和日期,开服时间(秒),功能开启服务器等级,功能个人开放等级,功能任务名,功能任务名-任务描述,功能预告的出现顺序（需要功能预告时配置）,预告Base等级,预告标题文本1,预告标题文本2,预告图集,预告标题,预告图片,预告图集,预告图片,预告奖励,是否开启（1开启 0关闭）,职业限制，支持配多个(6000|6101)，无限制时需要配成空值,累计登录N天后开启该功能（不填或填0为不受此条件影响）,成就等级（成就徽章）（满足对应成就等级才能开启功能）,跨服时是否开启(0关闭1开启)
107,设置,"各种选项设置的入口,Options,Settings",1,3,6,0,107,0,Icon01,UI_Icon_Shezhi.png,Icon_SHEZHI,SetupEvent,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
120,仓库服务,背包之外额外放道具的空间,3,,,,120,1,Icon01,UI_Icon_Cangku.png,,OpenPotEvent,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
1090,存储服务,在一个地图的卡普拉那里选择“存储服务”会记录一下，如果玩家死了会在该地图的卡普拉处复活,3,,,,1090,0,,,,KplSavePointEvent,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
130,好友,,3,,,,130,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
13001,邮件,,3,,,,13001,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
6100,,开宝箱掉道具,3,,,,6100,0,Icon01,UI_Icon_caizhai.png,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
6110,烹饪组合,,2,,,6000,6000,1,Icon01,UI_Icon_Yelian_Shipin.png,,,,,,0,,6000800,,,,,,,,,,,,,,,,,1,,,,1
6120,制药组合,,2,,,6000,6000,1,Icon01,UI_Icon_Yelian_Shipin.png,,,,,,0,,6000800,,,,,,,,,,,,,,,,,1,,,,1
6130,炼金术士配药,炼金职业专属配药功能,2,,,,108,1,,,,,,,,40,,,,,,,,,,,,,,,,,,,1,,,,1
6140,炼金术士生命体面板,炼金术士生命体面板,2,,,,,1,,,,OpenSlimeMainUI,,,,40,,,,,,,,,,,,,,,,,,,1,,,,1
6150,炼金术士配药面板,炼金术士配药面板,2,,,,,1,,,,OpenAlchemistMake,,,,40,,,,,,,,,,,,,,,,,,,1,,,,1
13003,,禁止加好友,3,,,,130,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,0
10807,材料,锻造页面显示用的“材料”页签,2,,,108,108,1,Icon01,UI_Icon_Duanzao02.png,,OpenMaterialMakeEvent,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
16001,表情,多功能界面——表情,,,,,160,1,CommonIcon,UI_CommonIcon_Tab_Biaoqing_0{0}.png,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
16002,常用语,多功能界面——常用语,,,,,160,1,CommonIcon,UI_CommonIcon_Tab_Duanyu_0{0}.png,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
10808,置换器,,2,,,108,108,1,Icon01,UI_Icon_Duanzao02.png,,OpenDisplacerMakeEvent,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
10809,使用置换器,,,,,,108,1,Icon01,UI_Icon_Duanzao02.png,,OpenDisplacerUseEvent,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
101,背包,就是MMO的背包，放道具的地方（2级开启）,4,3,,0,101,0,Icon01,UI_Icon_Beibao.png,Icon_Beibao,OpenBagEvent,,1,,0,,1000011,,,,,,,,,,,,,,,,,1,,,,1
104,照相,游戏里的拍照功能（3级开启）,4,3,,0,104,1,Icon01,UI_Icon_Xiangji02.png,Icon_Camera,CameraEvent,,1,,0,,1000040,,,,,,,,,,,,,,,,,1,,,,1
105,相册,3级开启 （2.1号开启1517418061=0）（3级开启）,1,3,5,0,105,1,Icon01,UI_Icon_Xiangce.png,Icon_Album,AlbumEvent,,,,0,,1000040,,,,,,,,,,,,,,,,,1,,,,1
